name,accuracy,precision,recall,f1,tts,hyper_param,Embedding
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,0.03325390815734863,"{'solver': 'lsqr', 'shrinkage': 0.05}",TF-IDF
BaggingClassifier,0.8888888888888888,0.9047619047619047,0.8888888888888888,0.882051282051282,0.01347804069519043,"{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.9832095395830784, 'max_samples': 0.4312721228050905}",TF-IDF
LogisticRegression,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.738095238095238,0.030556678771972656,"{'max_iter': 4173, 'C': 31.255769235084458, 'solver': 'newton-cg'}",fasttext
AdaBoostClassifier,0.6666666666666666,0.7000000000000001,0.6666666666666666,0.6753246753246753,0.12105464935302734,"{'n_estimators': 50, 'learning_rate': 0.6404558013103668}",fasttext
QuadraticDiscriminantAnalysis,0.6666666666666666,0.7000000000000001,0.6666666666666666,0.6753246753246753,0.003741025924682617,{'reg_param': 0.7859723069860839},glove
DecisionTreeClassifier,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333334,0.0025925636291503906,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 0.6830097826706849, 'criterion': 'entropy', 'min_impurity_decrease': 0.27128654698580157, 'class_weight': 'balanced'}",glove
